ID;اسم الفرع / المنفذ;نوع المرفق;العنوان;رابط الاتجاهات;خط العرض (Latitude);خط الطول (Longitude)
AZ-UF-BR-0005;1 أسيوط;فرع أبو عوف;تقسيم الحقوقيين - شارع الجامعه الازهريه (شارع الازهر - اسيوط ثان);https://goo.gl/maps/1VZGgnKxZcJnu3oL8;27.197754200;31.179498600
AZ-UF-BR-0006;اب تاون-المقطم;فرع أبو عوف;البلازا الجديده امام سيلستا جاردنز;https://maps.app.goo.gl/r3KheWF8sx4ARhCe6;30.025310500;31.287849400
AZ-UF-BR-0007;أبوعوف - تسيباس العبور;فرع أبو عوف;العبور بجوار سيتى تسيباس نادى العبور;https://maps.app.goo.gl/KxQHZWLJv69q3GD28;30.233605700;31.457458300
AZ-UF-BR-0008;أجورا مول;فرع أبو عوف;مول أجورا-الدور الارضي- التجمع الخامس;https://goo.gl/maps/tDFSwg3iHs7r7Cie7;30.020496600;31.528987000
AZ-UF-BR-0009;أرابيلا مول;فرع أبو عوف;أرابيلا مول الجديد ، التجمع الثالث، بجوار صيدلية عز الدين القاهرة الجديدة.;https://goo.gl/maps/hzDm6h8BC2dC4UHS8;29.992837000;31.434628000
AZ-UF-BR-0010;أركان;فرع أبو عوف;الشيخ زايد مول اركان امام زايد 2000 الدور الارضى المكتب الرئيسى;https://goo.gl/maps/2YATGiFytrbVSHrh9;30.020796200;31.003402300
AZ-UF-BR-0011;اسوان;فرع أبو عوف;97 كورنيش النيل;https://maps.app.goo.gl/uwGTq7KUN8Xm5eDQA;24.091564200;32.895896900
AZ-UF-BR-0012;أسيوط 2;فرع أبو عوف;13- ابراج عثمان بن عفان - شارع الجمهوريه - امام بنك القاهره;https://goo.gl/maps/K4D4KwDHogRZrHyy6;27.185734600;31.185899000
AZ-UF-BR-0013;أفينيو مول - الرحاب;فرع أبو عوف;مول افينيو بجوار السجل المدني الدور الثاني , القاهرة الجديدة ، الرحاب ، القاهرة;https://goo.gl/maps/E5hpiSJcoJ41C9Yr9;30.058551800;31.509106200
AZ-UF-BR-0014;اكاديمية الجزيرة;فرع أبو عوف;اكاديمية الجزيرة شارع الصفا من شارع ٩ المقطم;https://maps.app.goo.gl/XsisNB53DkuqZmQ16;30.011383710;31.307130813
AZ-UF-BR-0015;الابراهيمية;فرع أبو عوف;58 طريق الجيش، الإبراهيمية بحري وسيدي جا، قسم باب شرقي.;https://goo.gl/maps/25fxomnGARSRPwEv9;31.217700900;29.926117800
AZ-UF-BR-0016;الاقبال;فرع أبو عوف;25 شارع الاقبال بجانب ماكدونالدز , لوران , الاسكندرية;https://goo.gl/maps/y8jjg1dUHqaV2eUf8;31.249965100;29.975219900
AZ-UF-BR-0017;الأقصر;فرع أبو عوف;2 شارع التلفزيون و المدينه المنوره بجوار فرع فودافون و محل منزلك;https://maps.app.goo.gl/aAZgAanipHrenu4X6;25.693788500;32.639980300
AZ-UF-BR-0018;البطل احمد عبدالعزيز;فرع أبو عوف;29 شارع البطل احمد عبد العزيز - المهندسين;https://maps.app.goo.gl/BTYHX7VeDp1p5s1X8;30.053360000;31.206392000
AZ-UF-BR-0019;البلاح;فرع أبو عوف;قرية البلاح بجانب مدخل القرية- الكيلو 65;https://maps.app.goo.gl/Wm7oQvFnALyanwRh8;30.874652900;29.358203900
AZ-UF-BR-0020;البيطاش;فرع أبو عوف;البيطاش - البيطاش غرب, الدخيلة, محافظة الاسكندرية امام كازيون;https://maps.app.goo.gl/87jMFDFD5wfb6oqv8;31.124885600;29.782594700
AZ-UF-BR-0021;الحسيني تو جو;فرع أبو عوف;الحسيني مول التجمع بجانب كمبوند النخيل الاول القاهرة الجديدة محافظه القاهرة;https://maps.app.goo.gl/QgtpeeRQtzSKS2tBA;30.063311800;31.445066400
AZ-UF-BR-0022;الداون تاون مول;فرع أبو عوف;شارع التسعين مول الداون تاون، التجمع الخامس;https://goo.gl/maps/ZtVDDa38EhpdKSn68;30.016761600;31.411886300
AZ-UF-BR-0023;الدقى;فرع أبو عوف;٦٢ شارع مصدق الدقي بجوار شاورما ابو رامز;https://goo.gl/maps/3MCNJZGrN1qkTG5V8;30.038735500;31.203158000
AZ-UF-BR-0024;الرحاب - السوق الشرقي;فرع أبو عوف;منطقة المطاعم ، الرحاب السوق الشرقي ، مدينة الرحاب ، محافظة القاهرة;https://goo.gl/maps/9NsrymCfMnZCbqPG8;30.071076200;31.514647000
AZ-UF-BR-0025;الزقازيق;فرع أبو عوف;شارع الدكتور طلبة عويضه (برج المصطفي) بجوار مستشفي صلاح سالم-القوميه-الشرقية;https://goo.gl/maps/kiaSdPGWC7nRAost6;30.592493400;31.486623300
AZ-UF-BR-0026;السويس-الشهداء;فرع أبو عوف;السويس شارع الشهداء امام اردوور برج الصفوه;https://goo.gl/maps/sDeBEN375ps4sjCM8;29.964583300;32.541138900
AZ-UF-BR-0027;السويس-المدينة الرياضية;فرع أبو عوف;برج مهاود شارع المدينة الرياضية, بجانب دوكلاند ,الملاحة الجديدة , محافظة السويس.;https://goo.gl/maps/26wu7ME7CE5gbJGK9;29.963422600;32.540988900
AZ-UF-BR-0028;الشلالات;فرع أبو عوف;116 طريق الحريه اول شارع السلطان حسين.عمارة البنك الاهلي المصري;https://goo.gl/maps/YzxNg5iZaNvj7LBC9;31.246195400;29.993617400
AZ-UF-BR-0029;العباسية تو جو;فرع أبو عوف;ميدان العباسية - بجوار ايتوال;https://maps.app.goo.gl/Bb6fByx6Crt8sMwK7;30.072641400;31.285017300
AZ-UF-BR-0030;العبور تاون ستارز مول;فرع أبو عوف;العبور تاون ستارز مول بجوار بنك مصر الحى السابع;https://maps.app.goo.gl/23dq9J4hfcworuBv9;30.188220900;31.469402500
AZ-UF-BR-0031;العبورO-Court;فرع أبو عوف;الحي التاسع مول أو كورت العبور بجوار ماركت الفتح;https://maps.app.goo.gl/4Bu7XAA6e2QzXqt36;30.216367400;31.455918300
AZ-UF-BR-0032;الفار بور فؤاد;منفذ بيع;ميدان اسوق حمام - بجوار كنتاكى - بور فؤاد;https://maps.app.goo.gl/ur3EFcTukfV8a2ew7;31.252918500;32.388477700
AZ-UF-BR-0033;الفار ماركت;منفذ بيع;شارع التسعين الجنوبي ، التجمع الخامس, امام كونكورد بلازا مول;https://goo.gl/maps/hBdajgjKRiKwizs68;30.026088700;31.483415600
AZ-UF-BR-0034;الفيوم;فرع أبو عوف;مول دله أو The Get شارع جمال عبدالناصر بجوار RGS Tower للملابس و بجوار مطعم مصر;https://maps.app.goo.gl/fze2afmHZ4EQJojR8;29.326223400;30.859310500
AZ-UF-BR-0035;القصر العيني;فرع أبو عوف;93 شارع القصر العيني محل رقم 13/9 بجانب روزا اليوسف;https://maps.app.goo.gl/QX7FJT9c3cxH7xTp6;30.035662000;31.233941500
AZ-UF-BR-0036;الكوربه;فرع أبو عوف;١٨ CIB شارع نزيه خليفة مصر الجديدة امام مستشفى الثورة بجوار بنك;https://goo.gl/maps/v9PCxE8ibNvozbct7;30.091088000;31.326420000
AZ-UF-BR-0037;ألماظة افينيو;فرع أبو عوف;مول ألماظة أفينيو الجديد بجوار مستشفى مصر الطيران - هليوبوليس;https://goo.gl/maps/xvBehnUFj96AgD8H6;30.092733600;31.347493200
AZ-UF-BR-0038;الماظه باي;فرع أبو عوف;منطقه مطاعم ترافكو - بجوار مطعم طبالي;https://maps.app.goo.gl/zyxVeKyaEytp9i9L8;31.197946300;27.550204300
AZ-UF-BR-0039;المحله;فرع أبو عوف;المحله الكبري ميدان المشحمه امام مسجد قادوس الكبير;https://maps.app.goo.gl/UkRW4XQoFb44iMY9A;30.978390600;31.175902600
AZ-UF-BR-0040;المريوطيه;فرع أبو عوف;103ش فيصل - محطة المريوطيه بجوار ڤودافون;https://maps.app.goo.gl/SwCt9LSGVprUrF3t9;29.994714600;31.149702000
AZ-UF-BR-0041;المطرية تو جو;فرع أبو عوف;18 شارع الحرية من ميدان المطرية بجوار كشري الخديوي;https://maps.app.goo.gl/P1ThbD8y3m9Vfax9A;30.120325000;31.302226000
AZ-UF-BR-0042;المعادى 50;فرع أبو عوف;شارع الخمسين زهراء المعادى بجوار كنتاكى و بنك QNB;https://goo.gl/maps/hfmjGV8SZVM2jED56;29.972508400;31.315069200
AZ-UF-BR-0043;المعادي بافاريا تاون;فرع أبو عوف;عماره 12 بافاريا تاون بجوار EG-Bank-امام البارون;https://maps.app.goo.gl/f1bTqVRgSAeGRNc98;29.980886500;31.340971000
AZ-UF-BR-0044;المعادي شارع اللاسلكي;فرع أبو عوف;شارع 216 . عزبة فهمي. من شارع اللاسلكي;https://goo.gl/maps/KQ9P67kNMutU4UEc8;29.971222200;31.279611100
AZ-UF-BR-0045;المعادي- شارع9;فرع أبو عوف;62 شارع 9 بجوار محطة ثكنات المعادى بجوار دنكن دونتس;https://goo.gl/maps/NpH1VCqTiSXcEAwA6;29.959015000;31.258895000
AZ-UF-BR-0046;المعسكر الروماني;فرع أبو عوف;رشدى- شارع المعسكر الرومانى بجوار حلوانى فلوكيجر;https://maps.app.goo.gl/VgZwGqoeomLNYWgy7;31.229583300;29.948777800
AZ-UF-BR-0047;المقطم;فرع أبو عوف;23 شارع 9 , المقطم.;https://goo.gl/maps/etMZwjQigyL2rXTW9;30.014225000;31.284822500
AZ-UF-BR-0048;المناره 1;منفذ بيع;المركز الدولى للمؤتمرات محور المشير طنطاوى- بجوار قاعه 1;https://goo.gl/maps/XzdhdTJMkSDMxhAQ9;30.014307000;31.384651200
AZ-UF-BR-0049;المناره 2;منفذ بيع;المركز الدولى للمؤتمرات محور المشير طنطاوى- بجوار قاعه 4;https://goo.gl/maps/XzdhdTJMkSDMxhAQ9;30.014307000;31.384651200
AZ-UF-BR-0050;المندرة;فرع أبو عوف;15 شارع وردة اليازجي مع جمال عبد الناصر المندرة بحري;https://maps.app.goo.gl/LTmgP2LDF8J438N2A;31.276486500;30.008046700
AZ-UF-BR-0051;المنصورة;فرع أبو عوف;شارع الجامعه المشايه السفليه امام نادى النيل;https://goo.gl/maps/a2TRUih5NeRd41Gv7;31.045971300;31.358019100
AZ-UF-BR-0052;المنصورة 2;فرع أبو عوف;شارع عبد السلام عارف - بجوار حى غرب المنصورة وحده رقم 1 الدور الارضى;https://goo.gl/maps/iu6M2ARkuuo4Auzv7;31.030300100;31.375679000
AZ-UF-BR-0053;المنيا;فرع أبو عوف;شارع البحر بداخل فندق جراند اتون.المنيا;https://goo.gl/maps/yMzbLrXGLmCGFgj47;28.113855900;30.750443200
AZ-UF-BR-0054;المنيل;فرع أبو عوف;٨١شارع المنيل الرئيسي.;https://goo.gl/maps/yhqCevNgGcXrNjQJ7;30.022750000;31.225750000
AZ-UF-BR-0055;النادي الأهلي - مدينة نصر;فرع أبو عوف;شارع حسن المأمون - امام البوابة الرئيسية - داخل النادي الاهلي مدينة نصر 3/4;https://maps.app.goo.gl/9kP5f4FMeXfubUCR8?g_st=aw;30.070601000;31.355386000
AZ-UF-BR-0056;النادي الاهلى الجزيرة;فرع أبو عوف;استاد التتش امام بوابة الصالات;https://maps.app.goo.gl/ahi3wAVxyLpubKaJA;30.043997100;31.222403500
AZ-UF-BR-0057;النبي دانيال;فرع أبو عوف;عقار 5،7 طريق الحرية مع 36 النبي دانيال امام برجر وهمي - العطارين - اسكندرية;https://maps.app.goo.gl/7BbudMZiWpZeT8hj6;31.196031600;29.901125000
AZ-UF-BR-0058;الهرم;فرع أبو عوف;اخر شارع الهرم بجوار مطعم جاد ومحل ضجه - مشعل;https://goo.gl/maps/dRYskbh4xfUYbSdR9;29.987699900;31.142988100
AZ-UF-BR-0059;أمريكانا بلازا;فرع أبو عوف;أمريكانا بلازا , مدينة الشيخ زايد , أكتوبر.;https://goo.gl/maps/GAsoAAmx9eB9Lvc77;30.027513800;31.013231700
AZ-UF-BR-0060;أمواج;فرع أبو عوف;قريه امواج مول ريفت - بجوار سبينس ماركت;https://maps.app.goo.gl/S3V53XESxjG4TfdG7;30.992166700;28.677472200
AZ-UF-BR-0061;أوبن اير 2 - مدينتي;فرع أبو عوف;اوبن اير مول -بجوار كريستال عصفور;https://goo.gl/maps/EsHa2vU3j3VQdHPH7;30.107704700;31.624416000
AZ-UF-BR-0062;أوبن اير 3 - مدينتي;فرع أبو عوف;اوبن اير مول-Kids Area-قطعة C;https://goo.gl/maps/hgwPzLJ9DWqhdsPp9;30.107040500;31.628074200
AZ-UF-BR-0063;اوتو سمير ريان;فرع أبو عوف;Auto Samir Rayan - Nasr City Branch، النصر، السريات الشرقية، ثان مدينة نصر، محافظة القاهرة‬ 4435013;https://maps.app.goo.gl/kK4NNtMnKiz25LpY6;30.056603300;31.289576000
AZ-UF-BR-0064;أوسكار جراند ستورز -المعادي;منفذ بيع;شارع الزهراء الرئيسي ف زهراء المعادي برج ريحانه بلازا بجوار فودافون;https://goo.gl/maps/yYnzajoRb87Z9GFKA;29.961139600;31.296972200
AZ-UF-BR-0065;أوسكار جراند ستورز- هليوبوليس;منفذ بيع;105 عمر بن الخطاب، الماظة، مصر الجديدة‬;https://goo.gl/maps/4KKGJUEM8DrTzxRH9;30.087329100;31.345786700
AZ-UF-BR-0066;أوسكار جراند ستورز-التجمع;منفذ بيع;القطعة 425 - ش التسعين قطاع 3 - التجمع الخامس, القاهرة الجديدة.;https://maps.app.goo.gl/WGGrVAAs7xQn2VzMA;30.027711100;31.488742000
AZ-UF-BR-0067;ايست هب مدينتى;فرع أبو عوف;مول ايست هب مدينتي امام الكرفت زون;https://maps.app.goo.gl/LmRxShwCr9NDhxUv9;30.073555600;31.673666700
AZ-UF-BR-0068;بارك مول;فرع أبو عوف;بارك مول التجمع الخامس امام هايبر لولو ماركت بجانب فندق بورتو كايرو أمام الجامعه الامريكيه;https://goo.gl/maps/zjRa5qDosrUr8KJf8;30.026713100;31.498010900
AZ-UF-BR-0069;بالم هيلز;فرع أبو عوف;شارع ٨٨، نادي بالم هيلز، ٦ أكتوبر بجوار اكاديمية برشلونه;https://goo.gl/maps/9iiMh8a8YKUmQ4bf6;30.013974500;31.026429200
AZ-UF-BR-0070;باندا المعادى;منفذ بيع;7 أ كورنيش النيل، برج دلة، قسم المعادي، القاهرة;https://maps.google.com/maps?q=29.961395631.2472813&z=17&hl=en;29.961395600;31.247281300
AZ-UF-BR-0071;بتروجيت;منفذ بيع;فرع بتروجيت بداخل الشركة مواعيد العمل من الأحد للخميس من الساعة ٨ صباحاً حتى الساعة ٣ مساءا;https://maps.app.goo.gl/DEcvdLuLSUQzod6x9;30.020224800;31.414392200
AZ-UF-BR-0072;بتروجيت;منفذ بيع;فرع بتروجيت بداخل الشركة مواعيد العمل من الأحد للخميس من الساعة ٨ صباحاً حتى الساعة ٣ مساءا;https://maps.app.goo.gl/RNM7WKXUCoMwfNEa7;30.020224800;31.414392200
AZ-UF-BR-0073;بست واى الجونة;منفذ بيع;المنجروفى - داخل ماركت بست واى;https://maps.app.goo.gl/Y5bobJA3WEY2qvYe8;27.397430900;33.744842900
AZ-UF-BR-0074;بنده ماركت;منفذ بيع;7 طريق النصر، المنطقة السادسة، مدينة نصر;https://goo.gl/maps/BRFsEG73CparcMdGA;30.068584400;31.342845900
AZ-UF-BR-0075;بنده ماركت-العبور;منفذ بيع;شارع سلمان الفارسى - الحى الاول, مدينة العبور;https://goo.gl/maps/gcV9u1g8oDiKvR536;30.232239600;31.460267600
AZ-UF-BR-0076;بنده مول-أكتوبر;منفذ بيع;المحورالمركزي - ميدان الحرية ,أكتوبر;https://goo.gl/maps/XtiaD4ART5WmPvpJ9;29.962353600;30.927456200
AZ-UF-BR-0077;بنده-هايبر ماركت;منفذ بيع;طريق الأسكندريه الزراعي، مدينة قها، مركز طوخ، القليوبية;https://goo.gl/maps/cbNXD2z5BHFissSE9;30.286426200;31.203071200
AZ-UF-BR-0078;بنها;فرع أبو عوف;امام نادى الرى و بجوار البنك الاهلى كورنيش النيل بداخل مول نايل فيو امام كارفور و بجوار L.C Wikiki;https://maps.app.goo.gl/pcd2YZ1Rb8Lpaz7E9;30.463932700;31.177256000
AZ-UF-BR-0079;بنها كورنيش النيل;فرع أبو عوف;شارع بنها كورنيش النيل بجوار صيدلية العزبي;https://maps.app.goo.gl/b4buU4RC7zMd3WLt9;30.474283100;31.177135000
AZ-UF-BR-0080;بورتو السخنه;فرع أبو عوف;زهران ماركت داخل بورتو السخنة;https://maps.google.com/maps?q=29.443893632.4818987&z=17&hl=en;29.443893600;32.481898700
